1825,1775,2001,5119,938,5082,
1769,1764,1939,4646,1785,1984,
3485,2874,937,2346,1997,1730,
1737,1763,5098,935,1994,118,
3612,2457,2335,932,2167,4522,
3528,4809,1986,1723,5013,2357,
2410,4959,5268,1987,2164,2560,
1982,1802,3973,1810,1806,3928,
5189,1847,1827,2345,2353,4455,
3172,5141,932,1777,5126,118,
5082,5098,1939,1986,2357,2874,
1730,2001,1994,3528,4646,5013,
4522,4809,1775,4959,3485,3928,
1802,2167,937,938,1984,1825,
2346,1810,1763,5126,5189,2560,
2353,2457,1827,2410,1997,1806,
5119,5268,3612,1785,5141,1847,
2335,1723,1987,935,1764,1982,
1777,1769,2164,1737,3973,2345,
3172,2874,2167,4455,1763,4959,
938,3485,118,5082,1810,1997,
3528,937,5126,2410,1785,2353,
1723,1939,935,5119,3928,2457,
1982,2164,2335,1984,4809,1994,
1730,2560,1775,4455,1764,1737,
1847,5268,2346,932,1825,1806,
5189,1769,2357,1777,1802,3612,
5141,4646,4522,5013,1827,5098,
2001,2345,1987,3172,1986,3973,
1984,4455,5126,2457,935,5082,
1764,2410,1994,1730,1847,3928,
4809,1777,932,1810,5119,1825,
4646,2167,2346,1802,2357,1785,
5098,4959,1723,2001,3973,1806,
1827,1986,3612,1737,938,1982,
5141,1997,5189,1987,1775,1939,
1763,2560,1769,2335,3528,3485,
2345,4522,2874,937,2164,118,
2353,5268,1984,5013,3172,3928,
1785,5082,4959,1810,1982,5098,
4455,1825,2346,5119,1986,1994,
2001,2560,1737,4809,5141,1763,
2410,2345,4646,1723,1775,3612,
3485,932,1827,1939,937,5189,
5126,2353,2357,2167,2164,3973,
935,938,1769,4522,3172,1730,
2335,5013,1847,1987,1802,2874,
3528,1997,1777,1806,1764,5268,
118,3928,1986,2457,4959,2560,
3612,2001,1763,2353,2346,1939,
932,938,1723,1984,5141,3485,
5119,5126,3973,1737,5189,2874,
1806,3172,4646,937,935,4809,
5013,1825,1764,2345,2164,1810,
4455,2410,1730,1777,5098,2335,
1847,1987,118,2167,3528,1827,
5268,2357,1982,1775,2457,1769,
1997,1785,4522,5082,1802,1994,
1806,4959,5013,5126,938,1939,
2874,1777,1984,4646,3612,4809,
1986,5098,1825,3485,1764,2353,
5141,3973,935,2410,3528,2346,
1994,2457,1810,937,1987,1769,
2164,4522,5082,1723,1847,1763,
1997,3928,2357,932,4455,2335,
1827,3172,2560,5119,1775,1785,
2167,118,1730,2001,1982,5189,
2345,1802,3485,5268,1737,2457,
1987,4522,5126,1777,1825,4646,
3928,1764,2164,3612,938,2346,
1785,1763,1806,4455,1986,1775,
1769,1982,2874,932,2410,2001,
5189,5013,935,4959,2357,937,
1984,5098,2167,2560,1997,5119,
3528,1810,1847,3172,1737,1939,
5268,3973,1994,2335,1827,118,
5082,2353,1730,1723,4809,1802,
5141,2357,938,2345,1982,1763,
4455,1987,3928,2001,3485,5126,
1785,1737,2346,5013,4522,2410,
